epoch,train_error,test_error,epoch_time,convergence_time
0,0.188157,0.870000,12507,314215
1,0.182952,0.870000,12570,314215
2,0.184474,0.870000,12762,314215
3,0.184231,0.870000,12597,314215
4,0.181403,0.870000,12528,314215
5,0.176397,0.800000,12581,314215
6,0.170164,0.710000,12592,314215
7,0.163149,0.700000,12512,314215
8,0.156557,0.700000,12511,314215
9,0.151222,0.660000,12489,314215
10,0.146982,0.640000,12549,314215
11,0.143337,0.600000,12576,314215
12,0.139933,0.570000,12640,314215
13,0.136589,0.580000,12547,314215
14,0.133217,0.530000,12562,314215
15,0.129778,0.490000,12571,314215
16,0.126256,0.470000,12577,314215
17,0.122650,0.450000,12529,314215
18,0.118970,0.440000,12696,314215
19,0.115235,0.440000,12728,314215
20,0.111476,0.440000,12493,314215
21,0.107728,0.430000,12480,314215
22,0.104027,0.430000,12504,314215
23,0.100403,0.420000,12563,314215
24,0.096877,0.420000,12542,314215
25,0.093463,0.430000,12510,314215
26,0.090164,0.430000,12482,314215
27,0.086979,0.400000,12539,314215
28,0.083901,0.400000,12611,314215
29,0.080918,0.390000,12501,314215
30,0.078015,0.360000,12540,314215
31,0.075177,0.370000,12509,314215
32,0.072391,0.350000,12511,314215
33,0.069648,0.350000,12539,314215
34,0.066943,0.330000,12480,314215
35,0.064277,0.320000,12711,314215
36,0.061653,0.320000,12626,314215
37,0.059076,0.320000,12491,314215
38,0.056556,0.320000,12599,314215
39,0.054098,0.320000,12538,314215
40,0.051711,0.320000,12537,314215
41,0.049399,0.320000,12482,314215
42,0.047168,0.320000,12524,314215
43,0.045019,0.320000,12590,314215
44,0.042955,0.320000,12548,314215
45,0.040979,0.320000,12527,314215
46,0.039091,0.320000,12502,314215
47,0.037290,0.310000,12561,314215
48,0.035576,0.310000,12535,314215
49,0.033947,0.310000,12498,314215
